00_GB;APIService;82;82;EQUAL
00_GB;BGPConfiguration;1;1;EQUAL
00_GB;BGPPeer;6;6;EQUAL
00_GB;ClusterConfig;2;2;EQUAL
00_GB;ClusterInformation;1;1;EQUAL
00_GB;ClusterIssuer;4;4;EQUAL
00_GB;ClusterRole;164;164;EQUAL
00_GB;ClusterRoleBinding;139;139;EQUAL
00_GB;ComponentStatus;4;4;EQUAL
00_GB;ConfigManagement;1;1;EQUAL
00_GB;CSIDriver;2;2;EQUAL
00_GB;CSINode;5;5;EQUAL
00_GB;CustomResourceDefinition;118;118;EQUAL
00_GB;Entitlement;1;1;EQUAL
00_GB;FelixConfiguration;1;1;EQUAL
00_GB;IPPool;1;1;EQUAL
00_GB;Membership;1;1;EQUAL
00_GB;MetricsServer;1;1;EQUAL
00_GB;MutatingWebhookConfiguration;4;4;EQUAL
00_GB;Namespace;28;28;EQUAL
00_GB;NamespaceConfig;5;5;EQUAL
00_GB;Node;5;5;EQUAL
00_GB;NodeMetrics;5;5;EQUAL
00_GB;PersistentVolume;15;15;EQUAL
00_GB;PodSecurityPolicy;4;4;EQUAL
00_GB;PriorityClass;3;3;EQUAL
00_GB;Repo;1;1;EQUAL
00_GB;StorageClass;3;3;EQUAL
00_GB;Sync;5;5;EQUAL
00_GB;TridentOrchestrator;1;1;EQUAL
00_GB;ValidatingWebhookConfiguration;5;5;EQUAL
00_NS;alpha;ConfigMap;2;2;EQUAL
00_NS;alpha;Role;1;1;EQUAL
00_NS;alpha;Secret;1;1;EQUAL
00_NS;alpha;ServiceAccount;1;1;EQUAL
00_NS;anthos-identity-service;ConfigMap;3;3;EQUAL
00_NS;anthos-identity-service;Deployment;1;1;EQUAL
00_NS;anthos-identity-service;Endpoints;1;1;EQUAL
00_NS;anthos-identity-service;EndpointSlice;1;1;EQUAL
00_NS;anthos-identity-service;Pod;1;1;EQUAL
00_NS;anthos-identity-service;PodMetrics;1;1;EQUAL
00_NS;anthos-identity-service;Role;1;1;EQUAL
00_NS;anthos-identity-service;RoleBinding;1;1;EQUAL
00_NS;anthos-identity-service;Secret;2;2;EQUAL
00_NS;anthos-identity-service;Service;1;1;EQUAL
00_NS;anthos-identity-service;ServiceAccount;1;1;EQUAL
00_NS;cert-manager;ConfigMap;2;2;EQUAL
00_NS;cert-manager;Deployment;3;3;EQUAL
00_NS;cert-manager;Endpoints;2;2;EQUAL
00_NS;cert-manager;EndpointSlice;2;2;EQUAL
00_NS;cert-manager;Pod;3;3;EQUAL
00_NS;cert-manager;PodMetrics;3;3;EQUAL
00_NS;cert-manager;Role;3;3;EQUAL
00_NS;cert-manager;RoleBinding;3;3;EQUAL
00_NS;cert-manager;Secret;18;18;EQUAL
00_NS;cert-manager;Service;2;2;EQUAL
00_NS;cert-manager;ServiceAccount;10;10;EQUAL
00_NS;cert-manager-test;ConfigMap;2;2;EQUAL
00_NS;cert-manager-test;Issuer;1;1;EQUAL
00_NS;cert-manager-test;Secret;3;3;EQUAL
00_NS;cert-manager-test;ServiceAccount;1;1;EQUAL
00_NS;config-management-monitoring;ConfigMap;2;2;EQUAL
00_NS;config-management-monitoring;Secret;1;1;EQUAL
00_NS;config-management-monitoring;ServiceAccount;1;1;EQUAL
00_NS;config-management-system;ConfigMap;6;6;EQUAL
00_NS;config-management-system;Deployment;2;2;EQUAL
00_NS;config-management-system;Endpoints;3;3;EQUAL
00_NS;config-management-system;EndpointSlice;3;3;EQUAL
00_NS;config-management-system;LimitRange;1;1;EQUAL
00_NS;config-management-system;Pod;2;2;EQUAL
00_NS;config-management-system;PodMetrics;2;2;EQUAL
00_NS;config-management-system;Secret;5;5;EQUAL
00_NS;config-management-system;Service;3;3;EQUAL
00_NS;config-management-system;ServiceAccount;4;4;EQUAL
00_NS;custom-prometheus-exporter;ConfigMap;4;4;EQUAL
